timestamp,signal_id,event_type,symbol,action,signal_price,signal_sl,signal_tp,signal_time,file_name,status,reason,bid,ask,balance,equity,free_margin,open_positions,details
2025.09.29 13:17:17,-,INIT,XAUUSD,-,-,-,-,-,-,SUCCESS,-,3811.34000,3811.56000,9990.98,9990.98,9990.98,0,EA initialized on XAUUSD for channel Blue_Forex_VIP
2025.09.29 13:17:17,-,SCAN,XAUUSD,-,-,-,-,-,-,NO_FILES,-,3811.34000,3811.56000,9990.98,9990.98,9990.98,0,No files matching pattern: Blue_Forex_VIP_XAUUSD_*.json
2025.09.29 13:18:18,-,SCAN,XAUUSD,-,-,-,-,-,-,NO_FILES,-,3811.53000,3811.75000,9990.98,9990.98,9990.98,0,No files matching pattern: Blue_Forex_VIP_XAUUSD_*.json
2025.09.29 13:19:20,-,SCAN,XAUUSD,-,-,-,-,-,-,NO_FILES,-,3810.07000,3810.29000,9990.98,9990.98,9990.98,0,No files matching pattern: Blue_Forex_VIP_XAUUSD_*.json
2025.09.29 13:20:11,-,DEINIT,XAUUSD,-,-,-,-,-,-,STOPPED,-,3810.32000,3810.54000,9990.98,9990.98,9990.98,0,EA stopped. Reason code: 2
2025.09.29 13:20:11,-,INIT,XAUUSD,-,-,-,-,-,-,SUCCESS,-,3810.32000,3810.54000,9990.98,9990.98,9990.98,0,EA initialized on XAUUSD for channel Blue_Forex_VIP. Scan every 5 sec; Monitor log every 60 sec
2025.09.29 13:20:12,-,MONITOR,XAUUSD,-,-,-,-,-,-,WAITING,-,3810.33000,3810.55000,9990.98,9990.98,9990.98,0,Monitoring for files: Blue_Forex_VIP_XAUUSD_*.json (checked every 5 seconds)
2025.09.29 13:20:25,-,DEINIT,XAUUSD,-,-,-,-,-,-,STOPPED,-,3810.39000,3810.61000,9990.98,9990.98,9990.98,0,EA stopped. Total signals processed: 0; Files in memory: 0
2025.09.29 13:20:26,-,INIT,XAUUSD,-,-,-,-,-,-,SUCCESS,-,3810.32000,3810.54000,9990.98,9990.98,9990.98,0,EA initialized on XAUUSD for channel Blue_Forex_VIP. Scan every 5 sec; Monitor log every 60 sec
2025.09.29 13:20:27,-,MONITOR,XAUUSD,-,-,-,-,-,-,WAITING,-,3810.33000,3810.55000,9990.98,9990.98,9990.98,0,Monitoring for files: Blue_Forex_VIP_XAUUSD_*.json (checked every 5 seconds)
